ElectionYear,CandidateName,HomeState,Incumbent?,CandParty,CandPartyAbbrev,PopularVote,PopVoteShare,ElectoralVotes,ElecVoteShare
1788,George Washington,Virginia,N,Independent,I,"39,624",100.00%,69,100.00%
1788,John Adams,Massachusetts,N,Federalist,F,0,0.00%,34,49.28%
1792,Thomas Jefferson,Virginia,N,Democratic-Republican,DR,0,0.00%,4,3.03%
1796,Charles C. Pinckney,South Carolina,N,Federalist,F,0,0.00%,1,0.72%
1808,James Madison,Virginia,N,Democratic-Republican,DR,"124,732",64.73%,122,69.71%
1808,Jamers Monroe,Virginia,N,Democratic-Republican,DR,"4,848",2.52%,0,0.00%
1812,DeWitt Clinton,New York,N,Democratic-Republican,DR,"132,781",47.63%,89,41.01%
1816,Rufus King,New York,N,Federalist,F,"34,740",30.92%,34,15.67%
1820,John Q. Adams,Massachusetts,N,Democratic-Republican,DR,"2,215",2.04%,1,0.43%
1824,Andrew Jackson,Tennessee,N,Democratic-Republican,DR,"151,271",41.35%,99,37.93%
1824,William H. Crawford,Georgia,N,Democratic-Republican,DR,"40,856",11.17%,41,15.71%
1824,Henry Clay,Kentucky,N,Democratic-Republican,DR,"47,531",12.99%,37,14.18%
1832,Henry Clay Sr.,Kentucky,N,National Republican,NR,"484,205",37.42%,49,17.13%
1832,William Wirt,Maryland,N,Anti-Masonic,AM,"100,715",7.78%,7,2.45%
1836,Martin Van Buren,New York,N,Democratic,D,"764,176",50.83%,170,57.82%
1836,William H. Harrison,Ohio,N,Whig,W,"550,816",36.63%,73,24.83%
1836,Hugh Lawson White,Tennessee,N,Whig,W,"146,107",9.72%,26,8.84%
1836,Daniel Webster,Massachusetts,N,Whig,W,"41,201",2.74%,14,4.76%
1840,James G. Birney,New York,N,Liberty (1800s),LY,"6,797",0.28%,0,0.00%
1844,James K. Polk,Tennessee,N,Democratic,D,"1,339,494",49.54%,170,61.82%
1848,Zachary Taylor,Louisiana,N,Whig,W,"1,361,393",47.28%,163,56.21%
1848,Lewis Cass,Michigan,N,Democratic,D,"1,223,460",42.49%,127,43.79%
